Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
Starbucks,"data scientist, Inclusion & Diversity Workforce Analytics - Seattle, WA or Remote","Seattle, WA",3.8,-1,-1,10000+ Employees,1971,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Apple,Machine Learning Data Engineer-Photos,United States,4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
TikTok,Data Scientist - Strategy & Analytics,"Los Angeles, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
McDonald's Corporate,"Data Scientist, Triage - McD Tech Labs","Mountain View, CA",3.5,-1,-1,10000+ Employees,1955,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
McDonald's Corporate,"Data Scientist, Performance Analytics - McD Tech Labs","Mountain View, CA",3.5,-1,-1,10000+ Employees,1955,Company - Public,Fast-Food & Quick-Service Restaurants,"Restaurants, Bars & Food Services",$10+ billion (USD)
Penn State University,Statistical Assistant,"University Park, PA",4.3,-1,-1,10000+ Employees,1855,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
TikTok,"Machine Learning Engineer, Risk Data Mining","Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Peloton,"Product Data Scientist, Product Analytics","New York, NY",4.2,-1,-1,1001 to 5000 Employees,2012,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
Atrium Health,"Biostatistician I, Biostatistics and Data Science","Winston-Salem, NC",3.8,-1,-1,10000+ Employees,1943,Hospital,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Apple,Online Data Science Analyst - Apple Retail Online,United States,4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Apple,Color Imaging Scientist,United States,4.3,-1,-1,10000+ Employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
TikTok,"Data Scientist - Analytics, TikTok Ecosystem","Mountain View, CA",3.7,-1,-1,501 to 1000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
